0004	C-FAAD	RV6
0006	C-FAAF	PA31
0009	C-FAAI	M4
000C	C-FAAL	C208
0010	C-FAAP	PA32
0011	C-FAAR	GLID
0015	C-FAAV	C172
0018	C-FAAY	PA22
001A	C-FAAZ	AEST
001B	C-FABA	DH8A
001C	C-FABB	BL17
0020	C-FABF	C550
0022	C-FABH	F2TH
0026	C-FABL	C172
0028	C-FABN	PC12
0029	C-FABO	HIGH
002A	C-FABP	WAIX
002D	C-FABS	P28A
0032	C-FABX	C177
0033	C-FABY	NSTR
0037	C-FACC	R44
003A	C-FACF	DH8C
003B	C-FACG	K100
003E	C-FACJ	B752
0041	C-FACM	RV8
0042	C-FACN	CL60
0043	C-FACO	C560
0044	C-FACP	HROC
0046	C-FACR	C172
0048	C-FACT	DH8C
004A	C-FACV	DH8C
004C	C-FACX	FBA2
004E	C-FACZ	FBA2
0053	C-FADE	C340
0054	C-FADF	DH8C
0055	C-FADG	AA5
0057	C-FADI	C82R
0058	C-FADJ	P28R
0059	C-FADK	HROC
005A	C-FADL	C310
005C	C-FADN	GLID
005D	C-FADO	C180
0060	C-FADR	C185
0061	C-FADS	PA30
0066	C-FADX	CH70
006E	C-FAEF	AS50
0070	C-FAEH	GLEX
0071	C-FAEI	R22
0072	C-FAEJ	C150
0073	C-FAEK	C150
0074	C-FAEL	C185
0077	C-FAEO	R44
0079	C-FAEQ	C180
007B	C-FAES	P28A
007C	C-FAET	BE58
007F	C-FAEW	SR20
0084	C-FAFB	C172
0085	C-FAFC	C208
0087	C-FAFE	CL60
0088	C-FAFF	B350
0089	C-FAFG	C208
008A	C-FAFH	FE51
008F	C-FAFM	BE20
0091	C-FAFO	CL2P
0093	C-FAFQ	CL2P
0094	C-FAFR	SW4
0097	C-FAFU	C210
0098	C-FAFV	C208
0099	C-FAFW	C172
00A0	C-FAGD	P28A
00A1	C-FAGE	C172
00A6	C-FAGJ	CH7B
00A9	C-FAGM	R22
00AA	C-FAGN	CL35
00AE	C-FAGR	C185
00B5	C-FAGY	ERCO
00B8	C-FAHB	B212
00BB	C-FAHE	AS50
00BD	C-FAHG	B212
00BF	C-FAHI	B407
00C1	C-FAHK	B212
00C2	C-FAHL	B212
00C6	C-FAHP	T206
00C8	C-FAHR	B212
