001E	PR-FDG	T210
8A93	PR-GMU	BE9L
8A9A	PR-DUO	BE58
8A9B	PR-JDC	BE58
8AA0	PR-TRS	PA34
8AA7	PP-BCA	BE9L
8AAA	PR-RVC	AS50
8AAC	PT-ZEY	E550
8ABB	PT-TRC	C208
8ABE	PR-GML	C25C
8AC2	PP-MMH	PA34
8AC5	PR-TKI	AT76
8AC6	PR-TKJ	AT76
8AD4	PR-MYO	A320
8AD5	PR-MYN	A320
8ADB	PR-FCX	C206
8ADC	PP-JBA	PA46
8ADD	PR-MFX	LJ40
8ADE	PP-IVA	C56X
8AE1	PR-INP	BE58
8AE8	PR-EGF	C525
8AE9	PR-DIS	BE40
8AEB	PP-BAH	AS50
8AED	PR-ADB	CL30
8AF4	PR-IPA	C182
8AF8	PR-HBH	C25A
8AF9	PR-AGT	TBM7
8AFC	PR-AXB	E195
8AFD	PR-GUN	B738
8AFF	PR-GUQ	B738
8B00	PR-GUU	B738
8B01	PR-GUV	B738
8B03	PU-HAA	QUAS
8B05	PR-BGI	S76
8B06	PR-LAG	BE36
8B0A	PR-MUR	LJ31
8B0E	PR-COK	TBM8
8B12	PR-BGJ	S76
8B18	PR-FDA	SR22
8B1E	PR-AXC	E195
8B24	PR-MSD	BE58
8B2A	PP-SSZ	BE9L
8B2D	PR-AXD	E195
8B2F	PP-NLR	E35L
8B30	PR-RFH	BE58
8B31	PR-DLK	BE58
8B32	PR-LDV	S76
8B33	PP-WBP	C525
8B34	PR-JTL	PA46
8B45	PT-FKK	E35L
8B48	PP-BSP	C525
8B4C	PP-AHB	B407
8B4D	PR-BFC	B407
8B4E	PR-TRY	BE20
8B4F	PR-TKK	AT76
8B52	PP-DJP	BE35
8B53	PR-BVO	C55B
8B58	PR-VFB	BE58
8B5B	PP-SJM	BE20
8B5C	PR-ISO	BE20
8B5F	PR-ZLJ	RV10
8B60	PT-YVJ	A109
8B61	PP-KGL	BE20
8B62	PR-JTN	BE20
8B63	PP-MDA	E55P
8B64	PR-MYR	A320
8B65	PR-MYP	A320
8B66	PR-MYQ	A320
8B69	PR-WCF	BE36
8B6B	PT-MBK	C182
8B6D	PR-ALI	PA46
8B6F	PR-VIS	AC90
8B76	PP-MSR	PA34
8B77	PT-HRI	E50P
8B7A	PR-ITE	BE58
8B7D	PR-TRT	C525
8B80	PR-AXE	E195
8B81	PR-GES	AC90
8B90	PR-ELV	BE20
8B91	PR-EAS	BE9L
8B99	PR-BGM	S92
8B9E	PR-AXF	E195
8BA1	PR-MJL	EC55
8BA2	PP-LMF	AS50
8BA3	PP-SCF	BE9L
8BA4	PP-BEB	A109
8BA5	PR-FMW	CL30
8BA7	PT-MUF	B77W
8BA8	PT-MUE	B77W
8BA9	PT-MUG	B77W
8BAA	PT-MUH	B77W
8BBE	PP-LDW	C510
8BC0	PR-MXX	SR22
8BCA	PR-VIR	C550
8BD7	PT-ZVL	RV10
8BDD	PP-UAU	PA46
8BE1	PR-GHG	EC30
8BE2	PR-HJH	C525
8BE3	PR-MYT	A320
8BE6	PT-TAT	E50P
8BE9	PP-IMP	C510
8BEC	PR-GEE	B737
8BF0	PT-WSJ	B350
8BF1	PT-ZLF	LNC4
8BF7	PR-AXG	E195
8BF8	PR-TKM	AT76
8C03	PR-GUP	B738
8C04	PR-GUR	B738
8C05	PR-GUT	B738
8C0C	PR-KYY	A109
8C11	PR-OMT	S76
8C12	PP-UAG	P46T
8C16	PR-FSB	C525
8C18	PR-RJR	C182
8C1B	PR-SEU	A139
8C1C	PR-SES	A139
8C1D	PP-JCR	BE20
8C1E	PR-CPT	C510
8C20	PR-DCK	BE9L
8C24	PP-AGT	A109
8C25	PR-DSE	P46T
8C2A	PR-OMW	EC25
8C2B	PR-RTN	SR22
8C2E	PR-GRJ	A109
8C2F	PR-GUX	B738
8C30	PR-GUY	B738
8C32	PR-ZBA	RV10
8C34	PP-WEB	C510
8C35	PR-LJP	PA34
8C36	PR-BNV	BE35
8C38	PP-VYV	C56X
8C3C	PR-RTC	C208
8C3E	PR-BIR	C25B
8C40	PR-NFT	C550
8C42	PP-MXM	F2TH
8C43	PT-CIL	B407
8C4C	PR-MYW	A320
8C4D	PR-MYV	A320
8C58	PR-JEC	LJ40
8C5B	PR-HAM	SR22
8C64	PR-LRG	PA46
8C6A	PR-AIC	C25A
8C6C	N-4001	LYNX
8C6E	N-4005	LYNX
8C6F	N-4010	LYNX
8C70	N-4012	LYNX
8C76	PR-BGN	S92
8C7A	PR-CSA	B429
8C7C	PP-FFA	A109
8C80	PP-URA	E55P
8C82	PT-STU	CL30
8C85	PT-FGV	BE40
8C88	PR-SQA	T206
8C8A	FAB2303	E110
8C8D	PP-CRV	LJ40
8C8F	PP-WMA	C25C
8C90	PR-FAD	AS50
8C92	PR-EPB	BE20
8C95	PR-BDA	P46T
8C99	PP-JAT	TBM8
8C9A	PP-PPT	R66
8CA3	PP-MAX	PA46
8CA7	PR-LDZ	S76
8CAC	PR-PRX	B350
8CAD	PR-FMI	EC35
8CAF	PR-ATV	AT76
8CB2	PR-SAO	DV20
8CB5	PP-AMK	F2TH
8CB8	PR-PHV	BE58
8CBA	PR-BTF	DV20
8CBD	PR-GMV	GLF5
8CC8	PP-GMC	B407
8CCB	PP-JRR	BE58
8CCE	PR-HFI	AS50
8CD2	PP-MML	EC35
8CD6	PP-SVG	C680
8CD8	PR-LEB	LJ45
8CDC	PS-SEN	PA34
8CDD	PR-OMY	S76
8CE0	PT-SAF	LJ45
8CE3	PP-EMO	E55P
8CE4	PT-JES	BE20
8CE5	PP-ZIE	RV10
8CE6	PT-TMI	A319
8CE7	PR-MYX	A320
8CE8	PP-CRG	A109
8CEA	PR-AXH	E195
8CED	PP-CFJ	FA7X
8CFC	PR-JBI	S92
8CFD	PR-JBE	S92
8CFE	PR-JAW	S92
8CFF	PP-OCE	PC12
8D06	PP-CIU	SR22
8D07	PR-OHE	S92
8D08	PR-OHF	S92
8D09	PR-BAF	B429
8D14	PR-OHA	A139
8D15	PR-OHB	A139
8D16	PR-OHC	A139
8D17	PR-OHD	A139
8D19	PR-OFF	C56X
8D1A	PP-JFZ	H25B
8D1F	PR-CPP	SR22
8D20	PR-TLC	E35L
8D22	PR-MJM	C25C
8D26	PR-DFE	BE20
8D2B	PP-OSM	FA7X
8D2D	PR-MGP	BE9L
8D32	PT-OUR	B429
8D37	PR-ATW	AT76
8D3C	PP-DUN	P46T
8D3F	PT-OOY	BE9L
8D42	PR-AXI	E195
8D43	PR-FRZ	C510
8D47	PR-RTT	A109
8D48	PT-GBF	C25B
8D49	PP-ESV	G150
8D4A	PR-AQB	AT76
8D4C	PP-VVL	PA34
8D53	PR-WIN	E55P
8D58	PP-EMB	E50P
8D59	PR-AXJ	E195
8D5A	PP-WLP	E55P
8D5C	PR-AQA	AT76
8D5E	PR-JBK	S92
8D60	PR-TNP	C510
8D61	PR-VOO	BE9L
8D62	PR-EFT	E55P
8D63	PP-EPS	BE9L
8D67	PP-JEM	BE58
8D69	PR-GBL	BE33
8D6E	PP-NMM	E55P
8D6F	PR-EBR	AS50
8D71	PR-BOC	P46T
8D74	PT-FSF	E50P
8D76	PR-BTP	PA34
8D7C	PR-MCP	BT36
8D7E	PR-AXK	E195
8D82	PP-MFL	BE40
8D83	PR-TSI	SR22
8D86	PR-GYS	SR22
8D88	PT-CDY	C208
8D89	PR-SIN	C208
8D91	PR-MCG	BE58
8D95	PR-DCE	C525
8D97	PR-JRV	C25B
8D98	PR-NGT	C25A
8D9A	PP-CPD	B429
8D9B	PR-VDN	B429
8D9F	PR-SSM	BE20
8DA1	PR-FRM	BE20
8DA8	PT-JCB	BE58
8DAC	PR-AQE	AT76
8DAD	PR-AXL	E195
8DAE	PR-AXN	E195
8DAF	PR-AXO	E195
8DB0	PR-GXA	B738
8DB1	PR-GXB	B738
8DB2	PR-GXC	B738
8DB3	PP-JCG	C510
8DB4	PP-FCC	GLEX
8DB5	PR-IPM	C208
8DB6	PR-EVU	B429
8DB7	PR-SDJ	B734
8DBB	PR-WQY	GLF5
8DBD	PP-OLY	E50P
8DBF	PP-OCC	BE36
8DC1	PR-MYY	A320
8DC2	PR-MYZ	A320
8DC3	PP-JCL	BE9L
8DC4	PP-EUE	BE9L
8DC5	PT-MXJ	A321
8DC7	PP-LTT	PA34
8DC8	PR-AMN	PA46
8DCA	PR-HBJ	PA34
8DCF	PT-MDC	BE58
8DD0	PR-PVS	BE58
8DD1	PR-URB	BE58
8DD4	PR-YQW	A109
8DD5	PR-DLB	BE58
8DD6	PP-MMX	LJ45
8DD7	PR-DDQ	PAY3
8DD8	PP-JBP	BE9L
8DDA	PP-CVM	T206
8DE0	PP-ZGR	RV7
8DE1	2742	C208
8DE3	PP-LMH	E50P
8DE5	PR-KRT	C25A
8DE6	PR-OIL	BE20
8DE7	PP-GUL	GLEX
8DEF	PR-COM	SR20
8DF5	PT-MUJ	B77W
8DF6	PT-MUI	B77W
8DF7	PR-FBU	E50P
8DFD	PR-FYB	E50P
8DFE	PP-SCN	E55P
8E04	PR-DHG	P46T
8E05	PR-AXP	E195
8E07	PP-MPB	E55P
8E09	PR-GXD	B738
8E0A	PR-GXE	B738
8E0B	PR-GXF	B738
8E0C	PT-ZFV	E550
8E12	PR-VGP	AS50
8E13	PT-PCT	EC55
8E16	PP-AGN	A109
8E1A	PR-AEN	C182
8E20	PR-HAL	C25A
8E21	PR-HFV	A139
8E22	PR-BOG	BE58
8E25	PP-JVJ	PA46
8E2B	PR-GRF	SR22
8E2C	PR-GRC	SR22
8E2D	PP-ALP	AS50
8E2E	PR-FET	BE58
8E2F	PR-CCE	B429
8E30	PR-RMA	BE9L
8E33	PR-RLD	SR22
8E36	PR-AQH	AT76
8E37	PT-MTX	A109
8E39	PR-CBA	G150
8E3C	PR-AQI	AT76
8E3D	PR-OHI	S92
8E3E	PR-OHG	S92
8E3F	PR-HJM	E55P
8E40	PR-CBY	E35L
8E43	PR-CRG	E35L
8E45	PP-JNY	LJ31
8E46	PR-TYA	A320
8E48	PP-RAI	PA46
8E49	PR-AXR	E195
8E4A	PR-BGT	S92
8E4D	PR-JLS	PA34
8E4E	PR-GJA	BE9L
8E51	FAB5001	EC25
8E52	PP-JAR	SR22
8E53	PP-BEC	SR22
8E55	PR-TYD	A320
8E5C	PR-WGV	C208
8E5D	FAB2319	E110
8E61	PP-CPA	SR22
8E63	PR-HGD	S76
8E64	PP-BPS	E55P
8E65	PR-KCA	PA34
8E6E	PR-AQJ	AT76
8E70	PT-MSX	B763
8E73	PR-EAZ	BE9L
8E77	PR-GXH	B738
8E78	PR-GXI	B738
8E7D	PR-AXS	E195
8E80	PR-ZBE	RV10
8E86	PR-BIH	B350
8E88	PR-AXT	E195
8E8B	PR-XIN	BE58
8E8F	PR-JBO	S92
8E92	PR-GXJ	B738
8E94	PR-GXL	B738
8E95	PR-AEG	C525
8E96	PP-YSF	AS65
8E98	PR-AQK	AT76
8E99	PR-AXU	E195
8E9F	PR-DOA	C208
8EA0	PR-HGL	AS50
8EA2	PT-IDY	PA34
8EA6	PP-LLJ	BE58
8EA7	PR-AQL	AT76
8EAB	PP-SDY	C525
8EAD	PP-LIN	BE9L
8EAE	PR-MTQ	C25B
8EB5	PP-CGG	E55P
8EB6	PP-CMJ	E55P
8EB7	PP-HUC	E55P
8EB8	PT-STR	E50P
8EB9	PR-AXW	E190
8EBA	PR-AQM	AT76
8EBB	PR-DRM	PA34
8EC3	PR-SDU	B734
8EC4	PP-AUL	F2TH
8EC6	PR-TYF	A320
8EC8	PR-LIQ	E50P
8EC9	PR-VMI	SR22
8ECA	PP-JOY	SR22
8ECB	PP-BLV	SR22
8ECC	PR-JJB	AS50
8ED5	PR-CTN	AS50
8ED6	PR-HIG	R22
8ED7	PR-URG	AS50
8ED9	PT-ECB	AS50
8EDE	PR-AXX	E190
8EE4	PP-CNS	H25B
8EE5	PT-FLA	BE36
8EE6	PR-EGL	SR22
8EE7	PP-AAJ	SR22
8EE8	PP-JHR	SR22
8EE9	PR-GRO	SR22
8EEA	PR-OHJ	A139
8EEB	PR-OHL	A139
8EEC	PR-OHN	A139
8EEF	PP-VEL	FA7X
8EF0	PR-SSE	BE58
8EF1	PR-SCM	BE58
8EF2	PR-AQN	AT76
8EF3	PP-LMR	E55P
8EF4	PR-BJA	E55P
8EF5	PP-JEL	E50P
8EF6	PP-JSZ	E50P
8EF7	PP-VRL	E50P
8EF8	PR-HNZ	E50P
8EF9	PP-AHW	E50P
8EFA	PT-GLD	P46T
8EFB	PR-TLM	BE9L
8EFC	PR-AXY	E190
8EFF	PR-GXM	B738
8F00	PR-GXN	B738
8F02	PR-GXP	B738
8F03	PR-GXQ	B738
8F04	PR-GXR	B738
8F05	PR-JUR	PC12
8F0B	PT-RMI	E50P
8F0D	PT-ZEK	RV7
8F0E	PR-WIR	SR22
8F0F	PP-JFB	BE9L
8F10	PR-DRV	B429
8F11	PR-TYG	A320
8F12	PR-TYH	A320
8F13	PR-PJM	B429
8F1F	PR-SKW	C525
8F22	PT-ZRQ	RV10
8F23	PR-FGU	SR22
8F25	PR-CBE	SR22
8F26	PP-ALR	SR22
8F27	PP-FTJ	SR22
8F28	PP-LMT	SR22
8F2A	PP-VID	PA34
8F2B	PP-JRE	B429
8F2C	PR-RJV	BE36
8F32	PR-BSB	BE20
8F37	PP-NRN	E55P
8F38	PR-AQO	AT76
8F39	PR-AXZ	E190
8F3A	PP-LVB	BE58
8F3C	PR-OHO	S92
8F3D	PP-CCV	AS50
8F3E	PP-MBM	AS50
8F41	FAB2318	E110
8F43	FAB2342	E110
8F46	PP-LRJ	LJ40
8F47	PR-IJE	BE40
8F49	PP-PES	P46T
8F4B	PP-PIB	BE9L
8F4C	PR-PMJ	P46T
8F4E	PT-MTP	GLF4
8F50	PP-LFS	F2TH
8F58	PR-ODA	BE9L
8F59	PT-OSO	BE9L
8F5A	PR-VIK	SR22
8F5B	PT-MLV	C240
8F5C	PR-CBF	PA46
8F5E	PR-REG	C25A
8F60	PP-LIL	BE58
8F62	PR-RNY	F2TH
8F63	PP-LEG	E35L
8F64	PP-CPM	SR22
8F66	PR-GCG	EC45
8F69	PT-MXM	A321
8F6A	PT-MXL	A321
8F6B	PR-AQP	AT76
8F6C	PR-AUA	E190
8F71	PR-NOC	GLF5
8F72	PR-NGM	E55P
8F74	PP-MCG	E55P
8F75	PR-AJN	E55P
8F76	PR-NAK	FA7X
8F7A	PR-FGE	BE9L
8F7B	PR-OJL	C525
8F7C	PP-MPJ	LJ45
8F7E	PP-DDR	BE40
8F7F	PR-FCA	PA34
8F86	PP-JMN	BE9L
8F88	PP-MSN	A109
8F8A	PP-BLA	B429
8F8B	PR-YRM	EC55
8F8D	PP-JJA	E550
8F8F	PP-OEA	BE20
8F90	PR-AUB	E190
8F91	PT-PAA	A109
8F93	PR-POR	P46T
8F94	PR-TUC	C56X
8F96	PR-HAE	AS50
8F97	PR-HLU	AS50
8F9C	PR-MSZ	C25A
8F9D	PP-WSA	B734
8F9F	PT-ZNJ	E390
8FA0	PR-MVR	B429
8FA1	PP-BBL	C56X
8FA2	PR-ETL	C206
8FA3	PR-RCN	C56X
8FA6	PR-FPC	B429
8FA7	PR-RLM	E50P
8FA8	PR-EDB	C25B
8FAA	PT-FRD	LJ40
8FAB	PR-RMB	C208
8FAC	PT-MBR	BE58
8FAD	PT-FLB	C25A
8FB1	PR-CCA	EA50
8FB3	PT-OTG	BE9L
8FB4	PR-GXT	B738
8FB5	PR-GXU	B738
8FB6	PR-GXV	B738
8FB7	PR-GXW	B738
8FBA	PP-IGS	PA34
8FC1	PR-TYI	A320
8FC2	PR-TYJ	A320
8FC4	PR-GDA	TBM8
8FC8	PT-TNT	A109
8FCB	PT-MXO	A321
8FCD	PP-MLA	C525
8FCF	PT-MXN	A321
8FD0	PR-AUC	E190
8FD1	PP-LJA	E55P
8FD2	PP-IBR	E55P
8FD3	PT-PVC	E55P
8FD4	PP-DNM	B429
8FD5	PR-CGI	GLF5
8FDA	PR-EFH	P46T
8FDD	PR-PHX	E50P
8FDE	PP-EPH	E55P
8FDF	PP-BDL	B407
8FE2	PP-VCI	BE9L
8FE3	PR-PAA	SR22
8FE4	PT-LRC	B407
8FE5	PR-BBK	SR22
8FE6	PP-LMV	SR22
8FE7	PR-RTF	SR22
8FE8	PP-MPG	SR22
8FE9	PP-ARX	SR22
8FEB	PP-CDC	SR22
8FEC	PP-DPC	PC12
8FED	PR-RFE	SR22
8FEE	PR-GRH	SR22
8FF0	PR-MAT	SR22
8FF1	PP-JSS	SR22
8FF2	PR-HEV	SR22
8FF4	FAB2336	E110
8FF5	2320	E110
8FF8	PP-NOB	FA50
8FF9	PR-GRW	SR22
8FFA	PT-MXP	A321
8FFB	PT-MXQ	A321
8FFE	PP-IVN	E50P
9002	PR-EEM	BE36
9004	PP-CMD	PC12
9005	PR-KDK	K100
9006	PT-WIS	PA34
9007	PR-MME	SR22
9008	PT-SST	A109
9009	PR-BXM	EC55
900F	PR-UBA	SR22
9010	PT-FSS	SR22
9012	PT-VOR	PA34
9017	PR-SCG	AS50
901C	PP-VRG	PA34
9024	PU-JAQ	GLID
9027	PR-DLN	E55P
9029	PP-VRO	BE58
902A	PR-RTA	C208
902E	PR-EUF	E550
902F	PR-VJA	C206
9033	PT-PBC	C208
9034	PR-VCO	GLF4
9035	PR-BPT	GLEX
9037	PT-PCH	E55P
9039	PR-WNA	LJ40
903A	PT-LEG	E35L
903F	PT-FLE	LJ45
9040	PR-GRY	SR22
9041	PP-MKB	E50P
9042	PP-ASD	BE9L
9043	PR-MZF	SR22
9044	PR-PLR	E50P
9046	PR-CST	P46T
904B	PR-BFP	BE58
904C	PR-AIZ	A332
904D	PR-NPB	B429
904E	PR-BPD	BE58
904F	PR-AQQ	AT76
9050	PR-AUE	E195
9054	PP-CTS	E55P
9055	PP-JDB	E55P
9056	PT-RGN	BE36
9059	PR-OVZ	PA46
905C	PP-NBB	E55P
905D	PP-CIB	SR22
9061	PR-MMG	BE40
9063	FAB2335	E110
9066	PR-GRZ	SR22
9067	PR-HBL	SR22
9068	PR-GRT	SR22
906C	PT-TAN	P46T
906F	PR-GRX	SR22
9072	PR-BCC	LJ40
9074	PR-AIY	A332
9075	PP-WHH	BE58
9078	PR-TMT	C208
9079	PR-GJR	B429
907A	PR-WZR	C208
907E	PR-CEZ	SR22
907F	PP-OKK	TBM9
9081	PR-BPL	BE40
9082	PT-FCN	SR22
9083	PP-DBS	FA7X
9084	PR-SCC	C206
9085	PR-VTH	B429
9086	PR-GMD	B429
9089	PR-NYV	LJ31
908D	PR-AQR	AT76
908E	PR-AIV	A332
908F	PP-JFF	P46T
9093	PR-DIC	BE36
9099	PR-JBQ	S92
909A	PR-JBP	S92
90A0	PR-ZHL	RV10
90A1	PR-ZSN	RV10
90A2	PR-SFB	F2TH
90A3	PR-FRC	C25M
90A5	PP-JMT	C680
90A6	PP-AAO	BE40
90AB	PR-FHI	C25M
90B0	PR-AQS	AT76
90B1	PR-AUF	E195
90B3	PP-JPR	SR22
90B5	PP-SRG	SR22
90BB	PR-GZM	P46T
90BE	PR-SRI	SR22
90C1	PR-GND	SR22
90C2	PT-XPB	A321
90C3	PT-XPA	A321
90C4	PR-RIY	C25M
90C6	PU-ZAT	RV9
90C7	PR-ASG	BE58
90C8	PR-ACO	B763
90CB	PR-VDB	C208
90CD	PT-RMB	C650
90CF	PP-KIK	BE40
90D0	PP-BIT	SR22
90D1	PP-PRB	C25M
90D3	PR-AUH	E195
90D4	PR-AQT	AT76
90D5	PR-AIX	A332
90D9	PT-GMU	C25B
90DD	PR-BSI	B350
90DE	PU-ZBZ	RV9
90DF	PR-OOF	GLEX
90E0	PP-LMA	B429
90E1	PU-FSA	RV9
90E4	PR-ZKT	RV10
90E5	PR-ZDO	RV10
90E9	PP-CFO	A109
90EA	PR-JJC	SR22
90EC	PT-MDB	BE58
90ED	PR-TYK	A320
90EE	PR-TYL	A320
90EF	PR-TYM	A320
90F0	PR-TYN	A320
90F1	PR-TYO	A320
90F5	PR-PPG	LJ40
90F6	PP-SAU	AS50
9102	PP-SIA	PA34
9103	PP-VRM	PA46
9104	PR-GXX	B738
9106	PR-CFL	P46T
910B	PR-AQV	AT76
910C	PR-AUI	E195
910E	PR-AIW	A332
9111	PT-PTR	CL35
9115	PR-DCC	BE36
9116	PP-ZNM	RV10
9117	PU-DBS	RV9
9118	PU-ZFF	RV9
9119	PU-SPG	RV9
911A	PP-XVP	RV10
911F	PT-FSJ	PC12
9122	PR-MFN	C208
9124	PP-LBM	C680
9126	PR-FCR	BE58
9127	PR-WUC	B429
9128	PR-ROG	R44
912A	PR-POS	A119
912B	PT-ZKT	RV10
912E	PR-BJR	BE58
912F	PR-FRE	TBM9
9130	PR-UNP	B350
9131	PP-CFS	BE9L
9138	PP-ECC	TBM9
913C	PR-JIE	E50P
913E	PR-STZ	E120
913F	PR-EKR	BE40
9140	PT-WBN	BE33
9142	PR-PQL	K100
9144	PP-JAL	SR22
9146	PR-XVQ	BE58
9149	PR-FTB	BE58
914C	PR-VTO	C56X
914D	PP-LSW	C206
914E	PR-FTO	BE20
9150	PP-WPM	E50P
9151	PR-DRJ	E55P
9153	PR-BGX	A139
9154	PR-BGY	A139
9155	PR-BGZ	A139
9156	PR-BGU	S92
915C	PR-OHQ	A139
915D	PR-OHR	A139
915E	PR-ZFI	RV10
9160	PR-ZPZ	RV10
9163	PR-AIU	A332
9164	PR-PMS	A139
9165	PR-AQW	AT76
9167	PR-NSP	A139
9169	PR-CAJ	BE58
916A	2340	E110
916B	FAB2291	E110
916C	7100	E110
916D	FAB2286	E110
9174	3601	E550
9175	PR-RSV	A139
9176	PR-PMK	E50P
9177	PP-AUX	BE58
9178	PT-TOO	TBM9
917C	PR-GNU	B429
917D	PR-AQZ	AT76
917E	PR-AUJ	E195
917F	PR-TYS	A320
9180	PR-TYT	A320
9181	FAB2902	A332
9182	FAB2901	A332
9185	PR-SJP	PA46
918A	PR-EVM	TBM9
918B	PR-ZTF	RV10
9190	PR-ZOC	RV10
9192	PR-DCD	BE58
9194	PR-HNG	CL35
9196	PP-MQS	CL30
9197	PP-FZB	AS50
9199	PR-OTR	S92
919A	PR-JBX	S92
919C	PR-FBG	BE58
919E	PR-GEH	B737
919F	PR-GEI	B737
91A1	PT-XPC	A321
91A2	PT-XPD	A321
91A3	PT-TML	A319
91A4	PR-ROJ	SR22
91A5	PT-SRT	S22T
91A8	PR-AUK	E195
91A9	PR-AKA	AT76
91AB	PP-EPT	C208
91AC	PR-DCO	SR20
91AD	PT-XPH	A321
91AE	PT-XPI	A321
91AF	PT-XPG	A321
91B0	PT-XPF	A321
91B1	PT-XPE	A321
91B2	PR-FRT	G280
91B5	PR-CRC	G280
91B9	PR-JTW	C208
91BB	PP-JGG	BE58
91BC	PP-CJZ	BE9L
91C1	PT-WBT	BE33
91C3	PR-GYA	B738
91C5	PR-FSP	A109
91C6	PP-WSR	GLF6
91C8	PP-VEN	A109
91CA	PP-KSL	B429
91CC	PR-AIT	A332
91CD	PR-AKB	AT76
91D0	PR-OTB	EC25
91D1	PP-BER	PC12
91D3	PU-KJV	RV9
91D4	PR-AEH	A139
91D5	PT-TSR	B350
91D6	PR-AUM	E195
91D7	PR-ZHQ	RV10
91D8	PR-FOB	PA34
91D9	PR-SDV	B734
91DA	PS-PCE	S22T
91DB	PR-AKC	AT76
91DF	PR-AUN	E195
91E9	PR-IGV	A109
91ED	PR-EAE	S76
91EF	PR-TYR	A320
91F0	PR-TYQ	A320
91F1	PR-TYP	A320
91F2	PR-BIA	A109
91F5	PP-XSO	RV10
91F7	PR-OTH	A139
91F8	PP-BTY	BE36
9203	PR-ZQT	RV10
9204	PR-SRK	S22T
9205	PP-JXX	TBM9
9206	PT-XPJ	A321
9208	PT-OLZ	PAY1
920C	PR-TNZ	BE9L
920D	PP-JBM	B429
920E	PS-TLH	B734
920F	PT-ZNG	E390
9210	FAB2853	E390
9211	PR-TRV	TBM9
9216	PP-BJS	B429
9217	3602	E550
9218	3603	E550
9219	PP-YBA	B734
921F	PP-CRJ	BE20
9220	PR-TYV	A320
9221	PR-TYU	A320
9225	PR-WSD	BE9L
9229	PP-ZRT	RV10
922B	PP-FSR	C210
9231	PR-AKD	AT76
9232	PR-AUO	E195
9234	PT-XPL	A321
9236	PP-OTO	SR22
9237	PR-SDT	B734
923E	PP-KCP	BT36
923F	PP-VFV	E55P
9240	PP-CGP	B429
9242	PR-TNI	PA34
9243	PR-ZGY	GLST
9246	PT-XPO	A321
9247	PT-XPN	A321
924A	PT-XPM	A321
924B	PR-GAP	AS50
924E	PS-BTF	A139
9250	PR-YME	EC20
9252	PU-MJK	QUAS
9254	EB2006	AS65
925A	PP-AFP	C208
925B	PT-FMF	C206
925C	PR-AUP	E195
925F	PT-XPQ	A321
9260	PR-HID	TBM9
9266	PR-GYD	B738
9267	PR-HIL	E550
9268	PP-SJJ	BE40
9269	PR-VEN	F2TH
926A	PR-AUQ	E195
926B	PR-AKF	AT76
926C	PR-SDF	B733
926D	PR-CAZ	BE58
926E	PR-ZMF	RV10
926F	PR-GEK	B737
9270	PR-GEJ	B737
9273	6550	C295	A
9274	PP-ZFI	RV10
9276	PR-SDG	B733
9277	PP-BBI	B429
9279	PR-HRO	E55P
9280	PP-LCZ	GLID
9281	PT-JTK	C172
9284	PR-AKI	AT76
9285	PR-SEC	S76
9286	FAB2346	E110
9287	FAB7109	E110
9288	2344	E110
9289	PR-ABS	BE36
928D	PP-ADZ	GLF6
928E	PU-WTN	WT9
9291	PR-VTF	P46T
9294	PR-YYL	A20N
9295	PR-OBF	A20N
9296	PR-XTE	A359
9297	PR-XTD	A359
9298	PR-ZFV	E290
929A	PP-NCG	P46T
929C	PR-YRB	A20N
929D	PR-MCK	P46T
92A5	PR-YRC	A20N
92A6	PR-YRD	A20N
92A7	PR-SRO	SR22
92A9	PR-ZKZ	RV10
92AA	PR-YRE	A20N
92AB	PP-JSN	BE9L
92B0	PR-YRA	A20N
92B5	PR-YRF	A20N
92B6	PR-BBZ	PAY1
92B7	PR-BYZ	PAY1
92B8	PT-OVB	PAY1
92B9	PR-BZS	PAY3
92BA	PR-BIZ	PAY1
92BC	PT-OJG	C550
92C3	PR-NDN	PAY3
92C5	PR-SDW	B733
92C8	PR-RJS	BE58
92CD	PR-NMC	S76
92CF	PR-OBH	A20N
92D0	PR-OBI	A320
92D1	PR-ZBN	RV10
92D2	PR-FVF	E55P
92DC	PP-XKZ	BL8
92DE	PP-ISI	BE36
92DF	PT-FTS	C182
92E0	PP-CMC	E50P
92E1	PP-NRV	LJ40
92E3	PR-HTF	AS50
92E8	PR-XTG	A359
92F2	PR-OHU	S92
92F8	PR-SDM	B734
92F9	PR-ZIJ	E295
92FA	PR-ROI	E550
92FC	PR-HFT	C25M
92FE	PP-CTT	C25M
92FF	PR-TMM	BE20
9300	PT-YRC	B06
9305	PT-FJR	BE9L
9306	PR-CBJ	PC12
9307	PR-SRU	SR22
9308	PR-MKM	B429
930B	PR-LOU	LJ40
930C	PP-UQN	C680
930D	PR-JQF	FA8X
9311	PR-YRH	A20N
9312	PR-YRI	A20N
9313	PT-LTG	BE58
9314	PT-TMO	A319
9315	PT-LLP	BE9T
9318	PR-VSP	PC12
9319	PR-SDO	B733
931B	PP-JIE	R66
931C	PR-FLL	B429
931D	PR-OTV	BE20
931E	PR-FGO	BE20
931F	PR-CPD	SR22
9321	PR-FGT	A169
9329	PR-YYE	A20N
932A	PR-YYG	A20N
932B	PR-YYH	A20N
932C	PR-UDS	BE9L
932D	PP-BFF	B429
932E	PR-MSA	BE35
9330	PP-BCW	PC12
9332	PR-BHR	BE58
9335	PP-FBR	PA34
9338	PR-VCB	C208
